    
321度假公寓,標準雙人房,1 房 x 1 晚,NT$,1354,稅金和服務費,NT$,210,總價,NT$,1564      
321度假公寓,高級四人房,1 房 x 1 晚,NT$,2639,稅金和服務費,NT$,409,總價,NT$,3048      
321度假公寓,頂級四人房& 夏威夷式陽台,1 房 x 1 晚,NT$,2982,稅金和服務費,NT$,462,總價,NT$,3444      
 花蓮太魯閣星晟棧渡假飯店,高級雙床房& 浴缸,1 房 x 1 晚,NT$,4329,稅金和服務費,NT$,671,總價,NT$,5000      
168 汽車旅館 - 中壢館,尊爵雙人房,1 房 x 1 晚,NT$,2590,稅金和服務費,NT$,402,總價,NT$,2992      
168 汽車旅館 - 中壢館,經典雙人房,1 房 x 1 晚,NT$,1813,稅金和服務費,NT$,281,總價,NT$,2094      
365 合日旅所,標準雙人房,1 房 x 1 晚,NT$,1558,稅金和服務費,NT$,242,總價,NT$,1800      
192 漫旅,標準雙人房& 1 張標準雙人床& 非吸煙房,1 房 x 1 晚,NT$,1510,稅金和服務費,NT$,234,總價,NT$,1744      
85 品雲主題套房,基本四人房,1 房 x 1 晚,NT$,1039,稅金和服務費,NT$,161,總價,NT$,1200      
192 漫旅,標準四人房& 2 張標準雙人床& 非吸煙房,1 房 x 1 晚,NT$,3905,稅金和服務費,NT$,605,總價,NT$,4510      
85 品雲主題套房,基本客房& 海景,1 房 x 1 晚,NT$,1126,稅金和服務費,NT$,174,總價,NT$,1300      
85 品雲主題套房,基本客房& 城市景觀,1 房 x 1 晚,NT$,866,稅金和服務費,NT$,134,總價,NT$,1000      
9 之 1 宅,標準雙人房& 1 間臥室,1 房 x 1 晚,NT$,1628,稅金和服務費,NT$,252,總價,NT$,1880      
9 之 1 宅,豪華雙人房,1 房 x 1 晚,NT$,1628,稅金和服務費,NT$,252,總價,NT$,1880      
9號溫泉旅店,標準雙床房,1 房 x 1 晚,NT$,3723,稅金和服務費,NT$,577,總價,NT$,4300      
9號溫泉旅店,經典雙人房& 1 張雙人床,1 房 x 1 晚,NT$,3723,稅金和服務費,NT$,577,總價,NT$,4300      
9號溫泉旅店,豪華四人房& 高層,1 房 x 1 晚,NT$,6580,稅金和服務費,NT$,1020,總價,NT$,7600      
9號溫泉旅店,豪華雙人房& 1 張標準雙人床& 無障礙,1 房 x 1 晚,NT$,4762,稅金和服務費,NT$,738,總價,NT$,5500      
A&amp;L 戀灣旅棧,202 雙人房,1 房 x 1 晚,NT$,1442,稅金和服務費,NT$,224,總價,NT$,1666      
A&amp;L 戀灣旅棧,標準雙人房,1 房 x 1 晚,NT$,1602,稅金和服務費,NT$,248,總價,NT$,1851      
9號溫泉旅店,皇家套房& 1 間臥室& 庭院& 高層,1 房 x 1 晚,NT$,10286,稅金和服務費,NT$,1594,總價,NT$,11880      
A&amp;L 戀灣旅棧,豪華雙人房& 海景,1 房 x 1 晚,NT$,1843,稅金和服務費,NT$,286,總價,NT$,2128      
85 品雲主題套房,基本客房& 無窗戶,1 房 x 1 晚,NT$,606,稅金和服務費,NT$,94,總價,NT$,700      
Buddy 35 民宿,四人房,1 房 x 1 晚,NT$,1732,稅金和服務費,NT$,268,總價,NT$,2000      
Buddy 35 民宿,三人房,1 房 x 1 晚,NT$,1385,稅金和服務費,NT$,215,總價,NT$,1600      
9號溫泉旅店,經濟四人房& 2 張雙人床 ,1 房 x 1 晚,NT$,5022,稅金和服務費,NT$,778,總價,NT$,5800      
Buddy 35 民宿,雙床房& 2 張單人床,1 房 x 1 晚,NT$,1126,稅金和服務費,NT$,174,總價,NT$,1300      
Bellus Inn,滾邊房型 (此為二館房型，離一館走路四分鐘),1 房 x 1 晚,NT$,2175,稅金和服務費,NT$,337,總價,NT$,2512      
Bellus Inn,工業風房型,1 房 x 1 晚,NT$,1986,稅金和服務費,NT$,308,總價,NT$,2294      
Bellus Inn,滾邊房型 (此為二館房型，離一館走路四分鐘),1 房 x 1 晚,NT$,2066,稅金和服務費,NT$,320,總價,NT$,2386      
Bellus Inn,工業風房型,1 房 x 1 晚,NT$,2091,稅金和服務費,NT$,324,總價,NT$,2415      
Bellus Inn,花花風,1 房 x 1 晚,NT$,2146,稅金和服務費,NT$,333,總價,NT$,2479      
Bellus Inn,花花風,1 房 x 1 晚,NT$,2259,稅金和服務費,NT$,350,總價,NT$,2609      
Bellus Inn,黑金風房型,1 房 x 1 晚,NT$,2146,稅金和服務費,NT$,333,總價,NT$,2479      
Bellus Inn,黑金風房型,1 房 x 1 晚,NT$,2259,稅金和服務費,NT$,350,總價,NT$,2609      
Bellus Inn,銀角風,1 房 x 1 晚,NT$,2146,稅金和服務費,NT$,333,總價,NT$,2479      
Bellus Inn,銀角風,1 房 x 1 晚,NT$,2259,稅金和服務費,NT$,350,總價,NT$,2609      
Bellus Inn,藍光房 (此為二館房型，離一館走路四分鐘),1 房 x 1 晚,NT$,2226,稅金和服務費,NT$,345,總價,NT$,2571      
Buddy 35 民宿,雙人房& 1 張標準雙人床,1 房 x 1 晚,NT$,1126,稅金和服務費,NT$,174,總價,NT$,1300      
9號溫泉旅店,經濟雙人房,1 房 x 1 晚,NT$,3723,稅金和服務費,NT$,577,總價,NT$,4300      
DiDi House民宿,雙人房& 陽台,1 房 x 1 晚,NT$,1100,稅金和服務費,NT$,170,總價,NT$,1270      
DiDi House民宿,家庭房& 浴缸 ,1 房 x 1 晚,NT$,2679,稅金和服務費,NT$,415,總價,NT$,3094      
DiDi House民宿,高級四人房& 浴缸,1 房 x 1 晚,NT$,1715,稅金和服務費,NT$,266,總價,NT$,1980      
DiDi House民宿,家庭房& 浴缸 ,1 房 x 1 晚,NT$,2545,稅金和服務費,NT$,394,總價,NT$,2939      
DiDi House民宿,雙人房& 陽台,1 房 x 1 晚,NT$,1157,稅金和服務費,NT$,179,總價,NT$,1337      
Café IsShoNi 一緒二咖啡民居,小庭院雙人房& 浴缸,1 房 x 1 晚,NT$,2271,稅金和服務費,NT$,352,總價,NT$,2623      
Café IsShoNi 一緒二咖啡民居,小庭院雙人房& 浴缸,1 房 x 1 晚,NT$,2623,稅金和服務費,NT$,407,總價,NT$,3030      
F HOTEL 嘉義館,精緻二人房,1 房 x 1 晚,NT$,1840,稅金和服務費,NT$,285,總價,NT$,2125      
F HOTEL 嘉義館,雅緻二人房,1 房 x 1 晚,NT$,1840,稅金和服務費,NT$,285,總價,NT$,2125      
F HOTEL 嘉義館,豪華五人房,1 房 x 1 晚,NT$,3040,稅金和服務費,NT$,471,總價,NT$,3511      
F HOTEL 嘉義館,温馨四人房,1 房 x 1 晚,NT$,2560,稅金和服務費,NT$,397,總價,NT$,2957      
F HOTEL 三義館,雙人房& 1 張標準雙人床,1 房 x 1 晚,NT$,2286,稅金和服務費,NT$,354,總價,NT$,2640      
F HOTEL 三義館,雙床房& 2 張單人床,1 房 x 1 晚,NT$,2286,稅金和服務費,NT$,354,總價,NT$,2640      
DiDi House民宿,雙人房& 浴缸,1 房 x 1 晚,NT$,1157,稅金和服務費,NT$,179,總價,NT$,1337      
85 童年主題套房,景觀四人房,1 房 x 1 晚,NT$,2221,稅金和服務費,NT$,1044,總價,NT$,3265      
321度假公寓,高級雙人房,1 房 x 1 晚,NT$,1954,稅金和服務費,NT$,303,總價,NT$,2257      
F HOTEL 知本館,家庭四人房,1 房 x 1 晚,NT$,3532,稅金和服務費,NT$,548,總價,NT$,4080      
F HOTEL 知本館,標準雙床房,1 房 x 1 晚,NT$,2701,稅金和服務費,NT$,419,總價,NT$,3120      
F HOTEL 花蓮站前館,精緻雙人房,1 房 x 1 晚,NT$,2249,稅金和服務費,NT$,349,總價,NT$,2598      
F HOTEL 花蓮站前館,溫馨四人房,1 房 x 1 晚,NT$,3014,稅金和服務費,NT$,467,總價,NT$,3481      
A&amp;L 戀灣旅棧,標準四人房,1 房 x 1 晚,NT$,2243,稅金和服務費,NT$,348,總價,NT$,2591      
F HOTEL 三義館,經濟雙人或雙床房& 無窗戶,1 房 x 1 晚,NT$,1870,稅金和服務費,NT$,290,總價,NT$,2160      
F HOTEL 花蓮站前館,雅緻雙人房,1 房 x 1 晚,NT$,2249,稅金和服務費,NT$,349,總價,NT$,2598      
F HOTEL 花蓮站前館,雅緻雙人房,1 房 x 1 晚,NT$,2249,稅金和服務費,NT$,349,總價,NT$,2598      
F Hotel 台中麗加園邸,基本客房& 無窗戶,1 房 x 1 晚,NT$,1549,稅金和服務費,NT$,240,總價,NT$,1789      
F HOTEL 花蓮站前館,精緻雙人房,1 房 x 1 晚,NT$,2249,稅金和服務費,NT$,349,總價,NT$,2598      
F Hotel 台中麗加園邸,基本客房& 無窗戶,1 房 x 1 晚,NT$,1936,稅金和服務費,NT$,300,總價,NT$,2236      
F Hotel 台中麗加園邸,雅緻雙人房&無窗戶 T2,1 房 x 1 晚,NT$,2305,稅金和服務費,NT$,357,總價,NT$,2662      
F Hotel 台中麗加園邸,溫馨四人房 T4,1 房 x 1 晚,NT$,2508,稅金和服務費,NT$,389,總價,NT$,2896      
F Hotel 台中麗加園邸,精緻雙人房 M2,1 房 x 1 晚,NT$,2305,稅金和服務費,NT$,357,總價,NT$,2662      
F Hotel 台中麗加園邸,溫馨四人房 T4,1 房 x 1 晚,NT$,3134,稅金和服務費,NT$,486,總價,NT$,3620      
F Hotel 台中麗加園邸,雅緻雙人房&無窗戶 T2,1 房 x 1 晚,NT$,1844,稅金和服務費,NT$,286,總價,NT$,2130      
F Hotel 台中麗加園邸,精緻雙人房 M2,1 房 x 1 晚,NT$,1844,稅金和服務費,NT$,286,總價,NT$,2130      
F Hotel 台北蘆洲館,標準雙床房& 2 張單人床& 城市景觀,1 房 x 1 晚,NT$,1971,稅金和服務費,NT$,306,總價,NT$,2277      
F Hotel 台北蘆洲館,精緻四人房& 多張床& 城市景觀,1 房 x 1 晚,NT$,3000,稅金和服務費,NT$,465,總價,NT$,3465      
F Hotel 台北蘆洲館,豪華四人房& 2 張加大雙人床& 城市景觀,1 房 x 1 晚,NT$,3086,稅金和服務費,NT$,478,總價,NT$,3564      
F Hotel 台北蘆洲館,家庭四人房& 2 張標準雙人床,1 房 x 1 晚,NT$,2829,稅金和服務費,NT$,438,總價,NT$,3267      
F Hotel 台北蘆洲館,精緻雙人房& 1 張加大雙人床& 城市景觀,1 房 x 1 晚,NT$,1971,稅金和服務費,NT$,306,總價,NT$,2277      
F Hotel 花蓮忠孝館,精緻雙人房,1 房 x 1 晚,NT$,2153,稅金和服務費,NT$,334,總價,NT$,2487      
F Hotel 花蓮忠孝館,溫馨四人房,1 房 x 1 晚,NT$,3961,稅金和服務費,NT$,614,總價,NT$,4575      
F Hotel 花蓮忠孝館,6人房 (房型隨機安排)    ,1 房 x 1 晚,NT$,4565,稅金和服務費,NT$,708,總價,NT$,5273      
F Hotel 花蓮忠孝館,溫馨四人房,1 房 x 1 晚,NT$,3570,稅金和服務費,NT$,553,總價,NT$,4124      
F Hotel 花蓮忠孝館,三人房,1 房 x 1 晚,NT$,2554,稅金和服務費,NT$,396,總價,NT$,2950      
F Hotel 花蓮忠孝館,雅緻雙人房 ，兩張單人床,1 房 x 1 晚,NT$,2220,稅金和服務費,NT$,344,總價,NT$,2564      
F Hotel 花蓮忠孝館,家庭四人房& 1 間臥室,1 房 x 1 晚,NT$,4134,稅金和服務費,NT$,641,總價,NT$,4775      
F Hotel 花蓮忠孝館,6人房 (房型隨機安排)    ,1 房 x 1 晚,NT$,5065,稅金和服務費,NT$,785,總價,NT$,5850      
FUN 輕鬆渡假會館,家庭客房,1 房 x 1 晚,NT$,5714,稅金和服務費,NT$,886,總價,NT$,6600      
FUN 輕鬆渡假會館,頂級四人房,1 房 x 1 晚,NT$,3290,稅金和服務費,NT$,510,總價,NT$,3800      
FUN 輕鬆渡假會館,標準雙人房,1 房 x 1 晚,NT$,1732,稅金和服務費,NT$,268,總價,NT$,2000      
F1 民宿,獨棟房屋& 5 間臥室,1 房 x 1 晚,NT$,11083,稅金和服務費,NT$,1718,總價,NT$,12800      
GOGO回行旅逢甲館,標準客房 (不含早),1 房 x 1 晚,NT$,1455,稅金和服務費,NT$,225,總價,NT$,1680      
GOGO回行旅逢甲館,標準客房,1 房 x 1 晚,NT$,1974,稅金和服務費,NT$,306,總價,NT$,2280      
GOGO回行旅逢甲館,家庭四人房,1 房 x 1 晚,NT$,2753,稅金和服務費,NT$,427,總價,NT$,3180      
GOGO回行旅逢甲館,豪華四人房,1 房 x 1 晚,NT$,3186,稅金和服務費,NT$,494,總價,NT$,3680      
G9 會館,標準雙人房,1 房 x 1 晚,NT$,1212,稅金和服務費,NT$,188,總價,NT$,1400      
G9 會館,標準四人房,1 房 x 1 晚,NT$,1905,稅金和服務費,NT$,295,總價,NT$,2200      
G9 會館,五人房,1 房 x 1 晚,NT$,2251,稅金和服務費,NT$,349,總價,NT$,2600      
Greatt Hotel 吉泰旅店,標準雙人房,1 房 x 1 晚,NT$,1868,稅金和服務費,NT$,290,總價,NT$,2158      
Bellus Inn,藍光房 (此為二館房型，離一館走路四分鐘),1 房 x 1 晚,NT$,2343,稅金和服務費,NT$,363,總價,NT$,2707      
Greatt Hotel 吉泰旅店,豪華雙人房,1 房 x 1 晚,NT$,2096,稅金和服務費,NT$,325,總價,NT$,2421      
Greatt Hotel 吉泰旅店,豪華雙床房,1 房 x 1 晚,NT$,2096,稅金和服務費,NT$,325,總價,NT$,2421      
HOTEL HI 垂楊店,商務雙人房& 1 張特大雙人床& 非吸煙房& 獨立浴室,1 房 x 1 晚,NT$,1545,稅金和服務費,NT$,240,總價,NT$,1785      
Greatt Hotel 吉泰旅店,標準雙床房,1 房 x 1 晚,NT$,1868,稅金和服務費,NT$,290,總價,NT$,2158      
HOTEL HI 垂楊店,商務雙人房& 1 張特大雙人床& 非吸煙房& 獨立浴室,1 房 x 1 晚,NT$,1539,稅金和服務費,NT$,239,總價,NT$,1778      
HOTEL HI 垂楊店,商務雙床房& 2 張單人床& 非吸煙房& 獨立浴室,1 房 x 1 晚,NT$,1539,稅金和服務費,NT$,239,總價,NT$,1778      
HOTEL HI 垂楊店,商務四人房& 非吸煙房& 獨立浴室,1 房 x 1 晚,NT$,2325,稅金和服務費,NT$,360,總價,NT$,2685      
HOTEL HI 垂楊店,商務雙床房& 2 張單人床& 非吸煙房& 獨立浴室,1 房 x 1 晚,NT$,1545,稅金和服務費,NT$,240,總價,NT$,1785      
